NAME_COMPANY;SYMBOL_YAHOO_FINANCE;COUNTRY;STATE;CITY;YEAR_FUNDATION;SECTOR
Microsoft Corp.;MSFT;US;New Mexico;Albuquerque;1975;Tecnologia
Apple Inc.;AAPL;US;California;Los Altos;1976;Tecnologia
